message_id,player_id,game_id,timestamp,content
m000001,p04532,ryan_game,2025-02-02T00:00:00,nice play
m000002,p02039,ibrahim_game,2025-03-26T00:00:00,gg
m000003,p01843,chuqi_game,2025-10-31T00:00:00,good game
m000004,p04624,ibrahim_game,2025-08-24T00:00:00,wow
m000005,p02501,baseball,2025-08-30T00:00:00,nice play
m000006,p09547,chuqi_game,2025-01-26T00:00:00,that was close
m000007,p09814,ryan_game,2025-04-23T00:00:00,that was close
m000008,p04344,ibrahim_game,2025-03-04T00:00:00,wow
m000009,p00919,ryan_game,2025-06-19T00:00:00,good game
m000010,p06346,ibrahim_game,2025-08-18T00:00:00,good game
m000011,p08453,chuqi_game,2025-09-05T00:00:00,wow
m000012,p05027,baseball,2025-04-13T00:00:00,nice play
m000013,p01774,chuqi_game,2025-01-01T00:00:00,that was close
m000014,p02868,ibrahim_game,2025-07-27T00:00:00,wow
m000015,p06742,ibrahim_game,2025-05-01T00:00:00,wow
m000016,p04653,ryan_game,2025-05-25T00:00:00,wow
m000017,p02067,chuqi_game,2025-03-02T00:00:00,gg
m000018,p08461,ryan_game,2025-11-16T00:00:00,gg
m000019,p07815,baseball,2025-06-24T00:00:00,that was close
m000020,p06976,ibrahim_game,2025-12-23T00:00:00,nice play
m000021,p09923,chuqi_game,2025-06-08T00:00:00,wow
m000022,p02096,ryan_game,2025-12-02T00:00:00,nice play
m000023,p02028,ibrahim_game,2025-12-23T00:00:00,wow
m000024,p08700,ryan_game,2025-07-03T00:00:00,nice play
m000025,p02754,baseball,2025-07-09T00:00:00,wow
m000026,p07291,ibrahim_game,2025-01-22T00:00:00,nice play
m000027,p08496,ryan_game,2025-10-17T00:00:00,that was close
m000028,p05126,ibrahim_game,2025-02-01T00:00:00,that was close
m000029,p05653,baseball,2025-07-29T00:00:00,that was close
m000030,p08506,chuqi_game,2025-06-16T00:00:00,gg
m000031,p09561,chuqi_game,2025-06-03T00:00:00,that was close
m000032,p08966,chuqi_game,2025-01-25T00:00:00,nice play
m000033,p01876,ryan_game,2025-05-21T00:00:00,that was close
m000034,p02711,ibrahim_game,2025-05-26T00:00:00,that was close
m000035,p04085,baseball,2025-04-22T00:00:00,nice play
m000036,p04291,baseball,2025-01-09T00:00:00,good game
m000037,p06645,ryan_game,2025-11-11T00:00:00,wow
m000038,p03927,ryan_game,2025-10-10T00:00:00,wow
m000039,p02979,chuqi_game,2025-09-06T00:00:00,that was close
m000040,p04538,ryan_game,2025-03-09T00:00:00,good game
m000041,p07609,chuqi_game,2025-04-26T00:00:00,nice play
m000042,p07645,baseball,2025-02-11T00:00:00,good game
